Vide,Code,Designation,Famille art,Essence,Qualité,Choix,Epai,Larg,Long,Unité,NBRPP,Mode calc,Remarque
,TAPIN00LBETACSW,TERRASSE ACCESSOIRE LAMBOURDE PIN TRAITE AUTOCLAVE ( CONSO 3ML / M2 ),10TERRASSE,PIN,TAV,LBE,,,,ML,1,MLP,
,TABCO00CLS000SV,TERRASSE ACCESSOIRE CLIP COMPOSITE SIMPLE ET VIS INOX ( CONSO 18/M2 ),10TERRASSE,BCO,,CLS,,,,U,1,U,
,TMELOFACOU000LO,TERRASSE MONOLAME ELONDO CHOIX COURANT FIXATION A VISSER 1 FACE LISSE / 1 FACE ANTIDERAPANTE PROFIL PEIGNE - RAINURE ET LANGUETTE EN BOUT,10TERRASSE,ELO,,COU,,,,M2,1,M2,
,TABCO00CLA000SV,TERRASSE ACCESSOIRE CLIP COMPOSITE D' ABOUTAGE ET VIS INOX BOITE DE 10.,10TERRASSE,BCO,,CLA,,,,U,1,U,
,TF00000SATBEXBL,TERRASSE FINITION SATURATEUR ENVIRONNEMENT BOIS EXOTIQUE,10TERRASSE,,BEX,SAT,,,,U,1,U,
,TMBCOFI000BCSSV,TERRASSE MONOLAME BOIS COMPOSITE TEINTE BRUN COLORADO STRUCTURE FIXATION INVISIBLE,10TERRASSE,BCO,BCS,COU,,,,M2,1,M2CO,
,TF00000SATCHEBL,TERRASSE FINITION SATURATEUR ENVIRONNEMENT CHENE,10TERRASSE,,,SAT,,,,U,1,U,
,TA00000CFI000LO,TERRASSE ACCESSOIRE CLIP INOX BOIS EXO (IPE/ELONDO) - FIXATION INVISIBLE ( CONSO 20/M2 ),10TERRASSE,BCO,,CFI,,,,U,1,U,
,TA00000VIA000AF,TERRASSE ACCESSOIRE VIS INOX A2 TORX 4/40 POUR CLIP PLASTIQUE ( BOITE DE 200),10TERRASSE,,,VIA,,,,U,1,U,
,TF00000SATGRIBL,TERRASSE FINITION SATURATEUR ENVIRONNEMENT GRIS VIEILLI,10TERRASSE,,GRI,SAT,,,,U,1,U,
,TMBCOFI000GISSV,TERRASSE MONOLAME BOIS COMPOSITE TEINTE GRIS IROISE STRUCTURE FIXATION INVISIBLE,10TERRASSE,BCO,GIS,COU,,,,M2,1,M2CO,
,TABCO00CDF000SV,TERRASSE ACCESSOIRE CLIP COMPOSITE DEBUT ET FIN ET VIS INOX BOITE DE 10.,10TERRASSE,BCO,,CDF,,,,U,1,U,
,TMBCOFI000GAASV,TERRASSE MONOLAME BOIS COMPOSITE TEINTE GRIS ANTHRACITE ANTIDERAPANT FIXATION INVISIBLE,10TERRASSE,BCO,GAA,COU,,,,M2,1,M2CO,
,TMFREFICOUTHBBS,TERRASSE MONOLAME FRENE THERMOCHAUFFE CHOIX COURANT FIXATION INVISIBLE FACE LISSE ET BOMBE AVEC FIXATION ET VIS,10TERRASSE,FRE,THB,COU,,,,M2,1,M2,
,TMBCOFI000GALSV,TERRASSE MONOLAME BOIS COMPOSITE TEINTE GRIS ANTHRACITE LISSE FIXATION INVISIBLE,10TERRASSE,BCO,GAL,COU,,,,M2,1,M2CO,
,TMBCOFI000GIASV,TERRASSE MONOLAME BOIS COMPOSITE TEINTE GRIS IROISE ANTIDERAPANT FIXATION INVISIBLE,10TERRASSE,BCO,GIA,COU,,,,M2,1,M2CO,
,TMBCOFI000GASSV,TERRASSE MONOLAME BOIS COMPOSITE TEINTE GRIS ANTHRACITE STRUCTURE FIXATION INVISIBLE,10TERRASSE,BCO,GAS,COU,,,,M2,1,M2CO,
,TMPSYFACOUTAMSW,TERRASSE MONOLAME PIN SYLVESTRE CHOIX COURANT TRAITEMENT AUTOCLAVE MARRON FIXATION A VISSER 1 FACE LISSE / 1 FACE ANTIDERAPANTE PROFIL PEIGNE.,10TERRASSE,PSY,TAV,COU,,,,M2,1,M2CO,
,TABCO00JUPGALSV,TERRASSE ACCESSOIRE JUPE DE FINITION BOIS COMPOSITE TEINTE GRIS ANTHRACITE LISSE,10TERRASSE,BCO,GAL,JUP,,,,U,1,ULONG,
